timestamp,commit,build,key_bits,op,rows,cols,b_cols,trials,mean_ms,min_ms,max_ms
2025-12-15T00:07:54+03:00,0a23706,Release,2048,gemv_cp,64,64,0,20,0.256567,0.249038,0.298628
2025-12-15T00:07:54+03:00,0a23706,Release,2048,gemm_cp,64,64,64,20,18.2116,17.6017,19.5347
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.0029289,0.002655,0.006971
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.0002658,0.000244,0.000633
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.375e-05,3e-05,8.3e-05
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.31e-05,7.7e-05,0.000162
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0227917,0.017727,0.023644
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.299464,0.251849,0.575725
2025-12-15T00:28:51+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,3.95551,2.98674,8.49679
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.00274795,0.002671,0.003082
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.0002595,0.000245,0.000502
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.4e-05,3e-05,8.2e-05
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.215e-05,7.8e-05,0.000155
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.016814,0.016436,0.019901
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.255511,0.249564,0.285937
2025-12-15T00:30:19+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,3.80166,3.06468,7.94002
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.00272345,0.002679,0.003088
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.0002613,0.000244,0.000538
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.535e-05,3e-05,0.000121
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.665e-05,7.7e-05,0.000239
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0177019,0.016586,0.03063
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.261032,0.248943,0.363196
2025-12-15T00:31:15+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,4.90742,2.85536,12.1329
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.00270005,0.00266,0.002963
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.0066236,0.000245,0.127522
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.845e-05,3e-05,0.000161
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.765e-05,7.8e-05,0.000246
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0209284,0.016351,0.090977
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.266969,0.253113,0.359794
2025-12-15T00:32:02+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,5.06572,4.30379,6.89243
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.0035129,0.002621,0.016611
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.00025785,0.000244,0.000459
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.395e-05,3e-05,8.3e-05
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.235e-05,7.8e-05,0.000149
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0167911,0.016449,0.019336
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.256767,0.249453,0.300038
2025-12-15T00:32:13+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,5.20015,4.31611,6.77588
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.0027155,0.00267,0.003054
